




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4735677 Released 2021-05-01
Analyzed List:	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20595)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (8504)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (expected)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (over/under)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (fold Enrichment)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (raw P-value)	H3K4me3_H1.intersect_with_GSM3003539_Homo.genes_uniq.txt (FDR)
immune response (GO:0006955)	2075	588	856.80	-	.69	3.53E-18	7.86E-16
cellular macromolecule metabolic process (GO:0044260)	4909	2448	2027.00	+	1.21	2.04E-18	4.61E-16
metabolic process (GO:0008152)	8313	3911	3432.57	+	1.14	1.17E-18	2.68E-16
positive regulation of biosynthetic process (GO:0009891)	2004	1133	827.48	+	1.37	1.06E-18	2.47E-16
complement activation (GO:0006956)	177	7	73.09	-	.10	9.94E-19	2.35E-16
primary metabolic process (GO:0044238)	7352	3507	3035.76	+	1.16	8.59E-19	2.06E-16
G protein-coupled receptor signaling pathway (GO:0007186)	1305	322	538.86	-	.60	5.52E-19	1.34E-16
positive regulation of macromolecule biosynthetic process (GO:0010557)	1863	1069	769.26	+	1.39	5.32E-19	1.31E-16
sensory perception (GO:0007600)	979	218	404.24	-	.54	5.05E-19	1.27E-16
positive regulation of cellular biosynthetic process (GO:0031328)	1969	1120	813.03	+	1.38	4.24E-19	1.08E-16
positive regulation of nucleic acid-templated transcription (GO:1903508)	1628	959	672.23	+	1.43	2.45E-19	6.56E-17
positive regulation of RNA biosynthetic process (GO:1902680)	1629	959	672.64	+	1.43	2.50E-19	6.47E-17
positive regulation of transcription, DNA-templated (GO:0045893)	1628	959	672.23	+	1.43	2.45E-19	6.45E-17
regulation of signal transduction (GO:0009966)	3128	1664	1291.60	+	1.29	1.71E-19	4.67E-17
generation of neurons (GO:0048699)	1271	787	524.82	+	1.50	8.50E-20	2.36E-17
regulation of localization (GO:0032879)	2753	1498	1136.76	+	1.32	3.85E-20	1.09E-17
humoral immune response (GO:0006959)	386	47	159.39	-	.29	3.00E-20	8.61E-18
positive regulation of nucleobase-containing compound metabolic process (GO:0045935)	1941	1118	801.47	+	1.39	2.84E-20	8.32E-18
positive regulation of RNA metabolic process (GO:0051254)	1773	1037	732.10	+	1.42	2.69E-20	8.04E-18
neurogenesis (GO:0022008)	1391	854	574.37	+	1.49	1.06E-20	3.21E-18
regulation of transcription by RNA polymerase II (GO:0006357)	2595	1434	1071.52	+	1.34	4.48E-21	1.39E-18
cellular metabolic process (GO:0044237)	7542	3627	3114.21	+	1.16	1.03E-21	3.27E-19
regulation of gene expression (GO:0010468)	4922	2494	2032.37	+	1.23	1.00E-21	3.24E-19
regulation of developmental process (GO:0050793)	2461	1380	1016.19	+	1.36	5.76E-22	1.90E-19
regulation of cellular component organization (GO:0051128)	2390	1347	986.87	+	1.36	4.89E-22	1.64E-19
anatomical structure morphogenesis (GO:0009653)	2158	1237	891.07	+	1.39	4.63E-22	1.59E-19
cellular component organization or biogenesis (GO:0071840)	6006	2977	2479.97	+	1.20	1.94E-22	6.82E-20
cellular component organization (GO:0016043)	5783	2881	2387.89	+	1.21	1.66E-22	5.97E-20
regulation of transcription, DNA-templated (GO:0006355)	3474	1859	1434.47	+	1.30	5.35E-23	1.96E-20
regulation of nucleic acid-templated transcription (GO:1903506)	3475	1860	1434.88	+	1.30	4.60E-23	1.73E-20
regulation of RNA biosynthetic process (GO:2001141)	3480	1863	1436.95	+	1.30	4.11E-23	1.58E-20
negative regulation of biological process (GO:0048519)	5501	2785	2271.45	+	1.23	7.73E-25	3.05E-22
regulation of RNA metabolic process (GO:0051252)	3782	2019	1561.65	+	1.29	6.63E-25	2.69E-22
system development (GO:0048731)	4330	2270	1787.93	+	1.27	2.91E-25	1.21E-22
regulation of cell communication (GO:0010646)	3509	1898	1448.92	+	1.31	2.82E-25	1.20E-22
regulation of cellular macromolecule biosynthetic process (GO:2000112)	3968	2110	1638.45	+	1.29	1.53E-25	6.72E-23
biological regulation (GO:0065007)	12568	5742	5189.53	+	1.11	1.05E-25	4.75E-23
regulation of macromolecule biosynthetic process (GO:0010556)	3999	2126	1651.25	+	1.29	9.11E-26	4.23E-23
regulation of signaling (GO:0023051)	3545	1920	1463.79	+	1.31	7.73E-26	3.70E-23
regulation of biological process (GO:0050789)	11898	5476	4912.87	+	1.11	7.17E-26	3.54E-23
regulation of biosynthetic process (GO:0009889)	4226	2232	1744.98	+	1.28	4.59E-26	2.50E-23
anatomical structure development (GO:0048856)	5330	2723	2200.84	+	1.24	4.84E-26	2.47E-23
regulation of nucleobase-containing compound metabolic process (GO:0019219)	4049	2152	1671.90	+	1.29	4.64E-26	2.44E-23
multicellular organism development (GO:0007275)	4941	2552	2040.22	+	1.25	3.76E-26	2.12E-23
regulation of cellular biosynthetic process (GO:0031326)	4163	2205	1718.97	+	1.28	3.07E-26	1.80E-23
regulation of cellular process (GO:0050794)	11351	5268	4687.01	+	1.12	6.83E-27	4.15E-24
positive regulation of macromolecule metabolic process (GO:0010604)	3522	1921	1454.29	+	1.32	5.33E-27	3.37E-24
cellular process (GO:0009987)	15495	6897	6398.13	+	1.08	7.39E-28	4.87E-25
negative regulation of cellular process (GO:0048523)	4902	2556	2024.11	+	1.26	4.03E-28	2.77E-25
developmental process (GO:0032502)	5797	2953	2393.67	+	1.23	2.38E-28	1.71E-25
positive regulation of metabolic process (GO:0009893)	3820	2072	1577.34	+	1.31	1.53E-28	1.15E-25
Unclassified (UNCLASSIFIED)	2744	747	1133.04	-	.66	1.02E-28	8.50E-26
biological_process (GO:0008150)	17851	7757	7370.96	+	1.05	1.02E-28	8.08E-26
positive regulation of nitrogen compound metabolic process (GO:0051173)	3123	1758	1289.54	+	1.36	2.28E-29	2.00E-26
nervous system development (GO:0007399)	2218	1328	915.85	+	1.45	2.03E-29	1.89E-26
positive regulation of cellular metabolic process (GO:0031325)	3314	1850	1368.40	+	1.35	1.01E-29	1.00E-26
positive regulation of biological process (GO:0048518)	6331	3202	2614.17	+	1.22	7.27E-30	7.66E-27
adaptive immune response (GO:0002250)	658	89	271.70	-	.33	4.53E-30	5.11E-27
regulation of macromolecule metabolic process (GO:0060255)	6340	3215	2617.89	+	1.23	1.00E-30	1.22E-27
detection of stimulus (GO:0051606)	721	101	297.71	-	.34	1.38E-31	1.81E-28
regulation of metabolic process (GO:0019222)	6874	3480	2838.38	+	1.23	5.49E-34	7.89E-31
regulation of nitrogen compound metabolic process (GO:0051171)	5740	2991	2370.14	+	1.26	1.70E-34	2.68E-31
positive regulation of cellular process (GO:0048522)	5741	2996	2370.55	+	1.26	5.22E-35	9.16E-32
regulation of primary metabolic process (GO:0080090)	5925	3081	2446.53	+	1.26	2.01E-35	3.97E-32
regulation of cellular metabolic process (GO:0031323)	6138	3188	2534.48	+	1.26	7.82E-37	1.77E-33
detection of stimulus involved in sensory perception (GO:0050906)	557	40	229.99	-	.17	1.45E-43	3.82E-40
sensory perception of smell (GO:0007608)	468	17	193.24	-	.09	2.22E-49	7.01E-46
sensory perception of chemical stimulus (GO:0007606)	543	26	224.21	-	.12	9.61E-52	3.80E-48
detection of chemical stimulus (GO:0009593)	522	13	215.54	-	.06	7.40E-61	3.90E-57
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	441	0	182.10	-	 < 0.01	3.43E-67	2.71E-63
detection of chemical stimulus involved in sensory perception (GO:0050907)	486	0	200.68	-	 < 0.01	2.54E-74	4.02E-70
